LocationType,Location,Race,TimeFrame,DataFormat,Income
County,San Juan,American Indian and Alaska Native,2014-2018,Currency,56932
County,San Juan,American Indian and Alaska Native,2015-2019,Currency,56250
County,Skagit,American Indian and Alaska Native,2005-2009,Currency,"*$47,667"
County,Skagit,American Indian and Alaska Native,2006-2010,Currency,"*$39,286"
County,Skagit,American Indian and Alaska Native,2007-2011,Currency,"*$50,000"
County,Skagit,American Indian and Alaska Native,2008-2012,Currency,"*$48,250"
County,Skagit,American Indian and Alaska Native,2009-2013,Currency,"*$48,971"
County,Skagit,American Indian and Alaska Native,2010-2014,Currency,39750
County,Skagit,American Indian and Alaska Native,2011-2015,Currency,37689
County,Skagit,American Indian and Alaska Native,2012-2016,Currency,36875
County,Skagit,American Indian and Alaska Native,2013-2017,Currency,38571
County,Skagit,American Indian and Alaska Native,2014-2018,Currency,59808
County,Skagit,American Indian and Alaska Native,2015-2019,Currency,52798
County,Skamania,American Indian and Alaska Native,2005-2009,Currency,"*$24,659"
County,Skamania,American Indian and Alaska Native,2006-2010,Currency,"*$87,750"
County,Skamania,American Indian and Alaska Native,2007-2011,Currency,"*$73,333"
County,Skamania,American Indian and Alaska Native,2008-2012,Currency,"*$76,042"
County,Skamania,American Indian and Alaska Native,2009-2013,Currency,"*$75,278"
County,Skamania,American Indian and Alaska Native,2010-2014,Currency,71389
County,Skamania,American Indian and Alaska Native,2011-2015,Currency,65833
County,Skamania,American Indian and Alaska Native,2012-2016,Currency,53750
County,Skamania,American Indian and Alaska Native,2013-2017,Currency,70488
County,Skamania,American Indian and Alaska Native,2014-2018,Currency,72853
County,Skamania,American Indian and Alaska Native,2015-2019,Currency,74613
County,Snohomish,American Indian and Alaska Native,2005-2009,Currency,67127
County,Snohomish,American Indian and Alaska Native,2006-2010,Currency,"*$68,423"
County,Snohomish,American Indian and Alaska Native,2007-2011,Currency,68984
County,Snohomish,American Indian and Alaska Native,2008-2012,Currency,"*$66,705"
County,Snohomish,American Indian and Alaska Native,2009-2013,Currency,61714
County,Snohomish,American Indian and Alaska Native,2010-2014,Currency,64070
County,Snohomish,American Indian and Alaska Native,2011-2015,Currency,63679
County,Snohomish,American Indian and Alaska Native,2012-2016,Currency,68444
County,Snohomish,American Indian and Alaska Native,2013-2017,Currency,72618
County,Snohomish,American Indian and Alaska Native,2014-2018,Currency,74700
County,Snohomish,American Indian and Alaska Native,2015-2019,Currency,86964
County,Spokane,American Indian and Alaska Native,2005-2009,Currency,"*$28,734"
County,Spokane,American Indian and Alaska Native,2006-2010,Currency,"*$29,233"
